iexpression,reading,meaning,tags
する,する,to do,JLPT JLPT_5 JLPT_N5
行く,いく,to go,JLPT JLPT_5 JLPT_N5
来る,くる,to come,JLPT JLPT_5 JLPT_N5
帰る,かえる,to return; to go home,JLPT JLPT_5 JLPT_N5
食べる,たべる,to eat,JLPT JLPT_5 JLPT_N5
飲む,のむ,to drink,JLPT JLPT_5 JLPT_N5
見る,みる,to see; to watch,JLPT JLPT_5 JLPT_N5
聞く,きく,to hear; to listen; to ask,JLPT JLPT_5 JLPT_N5
話す,はなす,to speak; to talk,JLPT JLPT_5 JLPT_N5
読む,よむ,to read,JLPT JLPT_5 JLPT_N5
書く,かく,to write,JLPT JLPT_5 JLPT_N5
買う,かう,to buy,JLPT JLPT_5 JLPT_N5
売る,うる,to sell,JLPT JLPT_4 JLPT_N4
会う,あう,to meet,JLPT JLPT_5 JLPT_N5
遊ぶ,あそぶ,to play,JLPT JLPT_5 JLPT_N5
待つ,まつ,to wait,JLPT JLPT_5 JLPT_N5
呼ぶ,よぶ,to call; to invite,JLPT JLPT_4 JLPT_N4
乗る,のる,to ride; to get on,JLPT JLPT_5 JLPT_N5
降りる,おりる,to get off; to descend,JLPT JLPT_4 JLPT_N4
入る,はいる,to enter,JLPT JLPT_5 JLPT_N5
出る,でる,to exit; to leave,JLPT JLPT_5 JLPT_N5
座る,すわる,to sit,JLPT JLPT_5 JLPT_N5
立つ,たつ,to stand,JLPT JLPT_5 JLPT_N5
寝る,ねる,to sleep,JLPT JLPT_5 JLPT_N5
起きる,おきる,to wake up; to occur,JLPT JLPT_5 JLPT_N5
歩く,あるく,to walk,JLPT JLPT_5 JLPT_N5
走る,はしる,to run,JLPT JLPT_4 JLPT_N4
泳ぐ,およぐ,to swim,JLPT JLPT_5 JLPT_N5
使う,つかう,to use,JLPT JLPT_5 JLPT_N5
作る,つくる,to make; to create,JLPT JLPT_5 JLPT_N5
教える,おしえる,to teach; to inform,JLPT JLPT_5 JLPT_N5
習う,ならう,to learn,JLPT JLPT_5 JLPT_N5
勉強する,べんきょうする,to study,JLPT JLPT_5 JLPT_N5
忘れる,わすれる,to forget,JLPT JLPT_5 JLPT_N5
覚える,おぼえる,to remember; to memorize,JLPT JLPT_4 JLPT_N4
考える,かんがえる,to think; to consider,JLPT JLPT_4 JLPT_N4
知る,しる,to know,JLPT JLPT_5 JLPT_N5
分かる,わかる,to understand,JLPT JLPT_5 JLPT_N5
言う,いう,to say,JLPT JLPT_5 JLPT_N5
思う,おもう,to think (subjective),JLPT JLPT_4 JLPT_N4
持つの,もつ,to hold; to carry; to possess,JLPT JLPT_5 JLPT_N5
置く,おく,to put; to place,JLPT JLPT_5 JLPT_N5
手伝う,てつだう,to help; to assist,JLPT JLPT_4 JLPT_N4
送る,おくる,to send,JLPT JLPT_4 JLPT_N4
借りる,かりる,to borrow,JLPT JLPT_5 JLPT_N5
貸す,かす,to lend,JLPT JLPT_5 JLPT_N5
洗う,あらう,to wash,JLPT JLPT_5 JLPT_N5
笑う,わらう,to laugh; to smile,JLPT JLPT_4 JLPT_N4
泣く,なく,to cry,JLPT JLPT_4 JLPT_N4
怒る,おこる,to get angry,JLPT JLPT_4 JLPT_N4
