expression,reading,meaning,tags
あるある,あるある,"relatable, it happens",Ideophone
ばっさり,ばっさり,"resolutely, drastically",Ideophone
ビクビク,ビクビク,"trembling, shivering",Ideophone
ビンビン,ビンビン,"throbbing (e.g. headache), blaring (e.g. music)",Ideophone
ビシビシ,ビシビシ,"stickily, relentlessly",Ideophone
ビショビショ,ビショビショ,"sopping, drizzling",Ideophone
ボリボリ,ボリボリ,"munching, crunching",Ideophone
ボサボサ,ボサボサ,"dawdling, dilly-dallying",Ideophone
ボタボタ,ボタボタ,drip drip,Ideophone
ちゃっかり,ちゃっかり,"calculating, cunning",Ideophone
ちゃんと,ちゃんと,"diligently, seriously",Ideophone
ダボダボ,ダボダボ,"loose-fitting, sloshing about (e.g. water in one's stomach)",Ideophone
どっきり,どっきり,"prank, practical joke",Ideophone
どんどん,どんどん,"drumming, beating",Ideophone
どんより,どんより,"dark, gloomy",Ideophone
どっさり,どっさり,"heaps, plenty",Ideophone
ふんわり,ふんわり,"gently, airily",Ideophone
フラフラ,フラフラ,"staggering, tottering",Ideophone
ふらり,ふらり,"slowly swaying, staggering",Ideophone
ガラガラ,ガラガラ,"with a clatter, with a rattle",Ideophone
ガラット,ガラット,"to burst open, to open suddenly (a door)",Ideophone
ギラギラ,ギラギラ,"glaringly, dazzlingly",Ideophone
ギトギト,ギトギト,"oily, greasy",Ideophone
ゴリゴリ,ゴリゴリ,"uncompromising, with a scraping sound",Ideophone
ゴロゴロ,ゴロゴロ,"thundering, purring",Ideophone
ゴタゴタ,ゴタゴタ,"trouble, difficulties",Ideophone
グチャグチャ,グチャグチャ,"pulpy, soppy",Ideophone
グネグネ,グネグネ,"winding, meandering",Ideophone
ぐっすり,ぐっすり,"soundly sleeping, fast asleep",Ideophone
グツグツ,グツグツ,"simmering, boiling gently",Ideophone
はっきり,はっきり,"clearly, plainly",Ideophone
ハラハラ,ハラハラ,"straggling, fluttering down",Ideophone
ヘベレケ,ヘベレケ,"blotto, dead drunk",Ideophone
ヘラヘラ,ヘラヘラ,"flaring up, bursting into flames",Ideophone
ヒラヒラ,ヒラヒラ,"fluttering, flickering (light, flame, etc.)",Ideophone
ひっそり,ひっそり,"quiet (place), still",Ideophone
ホカホカ,ホカホカ,"glowing (with warmth), steaming hot (food)",Ideophone
イライラ,イライラ,"to get irritated, to get annoyed",Ideophone
イヨイヨ,イヨイヨ,"more and more, increasingly",Ideophone
ジャンジャン,ジャンジャン,"clanging (of a bell), jangling",Ideophone
じっくり,じっくり,"without rushing, deliberately",Ideophone
カチカチ,カチカチ,"chinking (e.g. of a hammer against rock), knocking",Ideophone
カリカリ,カリカリ,"scratching, crisp (e.g. potato chip, fried fish)",Ideophone
きっぱり,きっぱり,"clearly, plainly",Ideophone
キラキラ,キラキラ,"glittering, sparkling",Ideophone
こっくり,こっくり,"nodding off, dozing",Ideophone
コリコリ,コリコリ,"crisp (like a pickle), crunchy",Ideophone
コロコロ,コロコロ,"lightly rolling (of a small and round thing), pleasant",Ideophone
コソコソ,コソコソ,"sneakily, secretly",Ideophone
こってり,こってり,"thickly, heavily",Ideophone
くっきり,くっきり,"distinctly (standing out), clearly",Ideophone
クルクル,クルクル,"whirling, revolving",Ideophone
マアマア,マアマア,"so-so, passable",Ideophone
メソメソ,メソメソ,"sobbing, weeping",Ideophone
モチモチ,モチモチ,"springy (texture), doughy",Ideophone
モグモグ,モグモグ,"mumbling, chewing (food)",Ideophone
もっちり,もっちり,"springy (texture), puffy",Ideophone
ムチムチ,ムチムチ,"plump, chubby",Ideophone
ムクムク,ムクムク,"towering, billowing (e.g. clouds of smoke)",Ideophone
ナヨナヨ,ナヨナヨ,"delicately, weakly",Ideophone
ネチネチ,ネチネチ,"nagging, sticky",Ideophone
ニチャニチャ,ニチャニチャ,slimy,Ideophone
のんびり,のんびり,"carefree, at leisure",Ideophone
ヌルヌル,ヌルヌル,"slimy, slippery",Ideophone
ニュルニュル,ニュルニュル,"slithering, wriggling",Ideophone
オドオド,オドオド,"trembling (with fear), timidly",Ideophone
オメオメ,オメオメ,"acting brazenly unaffected, shamelessly",Ideophone
オロオロ,オロオロ,"sobbing, trembling (voice)",Ideophone
オタオタ,オタオタ,"flustered, flurried",Ideophone
オズオズ,オズオズ,"trembling with fear, timidly",Ideophone
パコパコ,パコパコ,sound of typing on a keyboard,Ideophone
パクパク,パクパク,"gasping, flapping (e.g. shoe sole)",Ideophone
ぱくり,ぱくり,"gaping (e.g. mouth, wound), biting into",Ideophone
パンパン,パンパン,"bulging, filled to bursting",Ideophone
パリパリ,パリパリ,"tearing, ripping",Ideophone
パット,パット,"catching, suddenly",Ideophone
ペラペラ,ペラペラ,"fluently (speaking a foreign language), incessantly (speaking)",Ideophone
ペロペロ,ペロペロ,licking,Ideophone
ピチピチ,ピチピチ,"bursting (e.g. seams), splattering (e.g. cooking oil)",Ideophone
ぴかり,ぴかり,"brightly, dazzlingly",Ideophone
ピンピン,ピンピン,"lively, energetic",Ideophone
ぴしゃり,ぴしゃり,"slapping, splashing",Ideophone
ぴったり,ぴったり,"tightly, closely",Ideophone
ぽっちゃり,ぽっちゃり,"to be plump, to be chubby",Ideophone
ポイポイ,ポイポイ,tossing,Ideophone
ぽっかり,ぽっかり,"gaping wide, lightly",Ideophone
ぽっくり,ぽっくり,"(dying) suddenly, (breaking) brittly",Ideophone
ポロポロ,ポロポロ,in large drops,Ideophone
ポタポタ,ポタポタ,"dripping, trickling",Ideophone
ポツポツ,ポツポツ,"dots, spots",Ideophone
プチプチ,プチプチ,"sound of bubbles (or other small objects) being popped, popping texture",Ideophone
プイト,プイト,"abruptly, in a huff",Ideophone
プカプカ,プカプカ,"puffing (on a pipe, cigarette, etc.), lightly (floating)",Ideophone
プニプニ,プニプニ,"squishy, springy",Ideophone
ピョンピョン,ピョンピョン,"hopping, skipping",Ideophone
サクサク,サクサク,"crunching sound (of walking on snow, frost, sand, etc.), crisp",Ideophone
さっぱり,さっぱり,"neat, tidy",Ideophone
サラサラ,サラサラ,"rustling, murmuring",Ideophone
しっかり,しっかり,"tightly (holding on), firmly",Ideophone
しんみり,しんみり,"quietly, softly",Ideophone
シトシト,シトシト,"drizzling, gently (raining)",Ideophone
しょんぼり,しょんぼり,"downheartedly, dejectedly",Ideophone
そっくり,そっくり,"spitting image of, all",Ideophone
すっかり,すっかり,"all, completely",Ideophone
スラスラ,スラスラ,"smoothly, easily",Ideophone
スルスル,スルスル,"smoothly, swiftly",Ideophone
たっぷり,たっぷり,"full, ample",Ideophone
タラタラ,タラタラ,"dripping, dribbling",Ideophone
テカテカ,テカテカ,"gleaming, shining",Ideophone
テキパキ,テキパキ,"briskly, quickly",Ideophone
テラテラ,テラテラ,"gleamingly, shinily",Ideophone
トロトロ,トロトロ,"simmering, sticky",Ideophone
ツルツル,ツルツル,"smooth, shiny",Ideophone
