expression,reading,meaning,tags
一,,one,Radical Stroke_1
丨,,line,Radical Stroke_1
丶,,dot,Radical Stroke_1
丿,,bend,Radical Stroke_1
乙,,second,Radical Stroke_1
亅,,hook,Radical Stroke_1
二,,two,Radical Stroke_2
亠,,pot lid,Radical Stroke_2
人,,human,Radical Stroke_2
儿,,legs,Radical Stroke_2
入,,enter,Radical Stroke_2
八,,eight,Radical Stroke_2
冂,,inverted box,Radical Stroke_2
冖,,cover,Radical Stroke_2
冫,,ice,Radical Stroke_2
几,,desk,Radical Stroke_2
凵,,container,Radical Stroke_2
刀,,sword,Radical Stroke_2
力,,power,Radical Stroke_2
勹,,embrace,Radical Stroke_2
匕,,spoon hi,Radical Stroke_2
匚,,box frame,Radical Stroke_2
十,,ten,Radical Stroke_2
卜,,divination to,Radical Stroke_2
卩,,seal,Radical Stroke_2
厂,,cliff,Radical Stroke_2
厶,,private,Radical Stroke_2
又,,again,Radical Stroke_2
亡,,dead,Radical Stroke_3
口,,mouth,Radical Stroke_3
囗,,enclosure,Radical Stroke_3
土,,earth,Radical Stroke_3
士,,scholar,Radical Stroke_3
夂,,winter,Radical Stroke_3
夊,,winter variant,Radical Stroke_3
夕,,evening,Radical Stroke_3
大,,big,Radical Stroke_3
女,,woman,Radical Stroke_3
子,,child,Radical Stroke_3
宀,,roof,Radical Stroke_3
寸,,sun,Radical Stroke_3
小,,small,Radical Stroke_3
尢,,lame,Radical Stroke_3
尸,,corpse,Radical Stroke_3
屮,,sprout,Radical Stroke_3
山,,mountain,Radical Stroke_3
巛,,river,Radical Stroke_3
工,,work,Radical Stroke_3
已,,oneself,Radical Stroke_3
巾,,cloth,Radical Stroke_3
干,,dry,Radical Stroke_3
幺,,short thread,Radical Stroke_3
广,,dotted cliff,Radical Stroke_3
廴,,long stride,Radical Stroke_3
廾,,two hands,Radical Stroke_3
弋,,ceremony,Radical Stroke_3
弓,,bow,Radical Stroke_3
彐,,pig's head,Radical Stroke_3
彡,,hair,Radical Stroke_3
彳,,step,Radical Stroke_3
艹,,grass,Radical Stroke_3
⻌,,walk,Radical Stroke_3
邑,,town,Radical Stroke_3
阜,,mound,Radical Stroke_3
心,,heart,Radical Stroke_4
戈,,spear,Radical Stroke_4
戸,,door,Radical Stroke_4
手,,hand,Radical Stroke_4
支,,branch,Radical Stroke_4
攵,,strike,Radical Stroke_4
文,,script,Radical Stroke_4
斗,,dipper,Radical Stroke_4
斤,,axe,Radical Stroke_4
方,,way,Radical Stroke_4
无,,have not,Radical Stroke_4
日,,sun,Radical Stroke_4
曰,,say,Radical Stroke_4
月,,moon,Radical Stroke_4
木,,tree,Radical Stroke_4
欠,,yawn,Radical Stroke_4
止,,stop,Radical Stroke_4
歹,,death,Radical Stroke_4
殳,,weapon,Radical Stroke_4
毋,,do not,Radical Stroke_4
比,,compare,Radical Stroke_4
毛,,fur,Radical Stroke_4
氏,,clan,Radical Stroke_4
气,,steam,Radical Stroke_4
水,,water,Radical Stroke_4
火,,fire,Radical Stroke_4
爪,,claw,Radical Stroke_4
父,,father,Radical Stroke_4
爻,,mix,Radical Stroke_4
爿,,split wood,Radical Stroke_4
片,,a) slice,Radical Stroke_4
牛,,cow,Radical Stroke_4
犬,,dog,Radical Stroke_4
王,,king,Radical Stroke_4
耂,,old,Radical Stroke_4
牙,,fang,Radical Stroke_5
玄,,dark,Radical Stroke_5
瓦,,tile,Radical Stroke_5
甘,,sweet,Radical Stroke_5
生,,life,Radical Stroke_5
用,,use,Radical Stroke_5
田,,field,Radical Stroke_5
疋,,bolt of cloth,Radical Stroke_5
疒,,sickness,Radical Stroke_5
癶,,footsteps,Radical Stroke_5
白,,white,Radical Stroke_5
皮,,skin,Radical Stroke_5
皿,,dish,Radical Stroke_5
目,,eye,Radical Stroke_5
矛,,spear,Radical Stroke_5
矢,,arrow,Radical Stroke_5
石,,stone,Radical Stroke_5
示,,altar,Radical Stroke_5
禸,,track,Radical Stroke_5
禾,,two-branch tree,Radical Stroke_5
穴,,cave,Radical Stroke_5
立,,stand,Radical Stroke_5
罒,,net,Radical Stroke_5
瓜,,melon,Radical Stroke_6
竹,,bamboo,Radical Stroke_6
米,,rice,Radical Stroke_6
糸,,thread,Radical Stroke_6
缶,,can,Radical Stroke_6
羊,,sheep,Radical Stroke_6
羽,,feather,Radical Stroke_6
而,,rake,Radical Stroke_6
耒,,plow,Radical Stroke_6
耳,,ear,Radical Stroke_6
聿,,brush,Radical Stroke_6
肉,,meat,Radical Stroke_6
自,,oneself,Radical Stroke_6
至,,arrive,Radical Stroke_6
臼,,mortar,Radical Stroke_6
舌,,tongue,Radical Stroke_6
舟,,boat,Radical Stroke_6
艮,,stopping,Radical Stroke_6
色,,colour,Radical Stroke_6
虍,,tiger stripes,Radical Stroke_6
虫,,insect,Radical Stroke_6
血,,blood,Radical Stroke_6
行,,go,Radical Stroke_6
衣,,clothes,Radical Stroke_6
西,,west,Radical Stroke_6
臣,,minister,Radical Stroke_7
舛,,opposite,Radical Stroke_7
見,,see,Radical Stroke_7
角,,horn,Radical Stroke_7
言,,speech,Radical Stroke_7
谷,,valley,Radical Stroke_7
豆,,bean,Radical Stroke_7
豕,,pig,Radical Stroke_7
豸,,cat,Radical Stroke_7
貝,,shell,Radical Stroke_7
赤,,red,Radical Stroke_7
走,,run,Radical Stroke_7
足,,foot,Radical Stroke_7
身,,body,Radical Stroke_7
車,,cart,Radical Stroke_7
辛,,spicy,Radical Stroke_7
辰,,morning,Radical Stroke_7
酉,,sake,Radical Stroke_7
釆,,divide,Radical Stroke_7
里,,village,Radical Stroke_7
麦,,wheat,Radical Stroke_7
金,,metal,Radical Stroke_8
長,,long,Radical Stroke_8
門,,gate,Radical Stroke_8
隶,,slave,Radical Stroke_8
隹,,old bird,Radical Stroke_8
雨,,rain,Radical Stroke_8
青,,green,Radical Stroke_8
非,,wrong,Radical Stroke_8
面,,face,Radical Stroke_9
革,,leather,Radical Stroke_9
韭,,leek,Radical Stroke_9
音,,sound,Radical Stroke_9
頁,,big shell,Radical Stroke_9
風,,wind,Radical Stroke_9
飛,,fly,Radical Stroke_9
食,,eat,Radical Stroke_9
